仿佛 彷彿
短信 簡訊
纽黑文 紐哈芬
新奥尔良 紐奧良
新几内亚 紐幾內亞
新西兰 紐西蘭
紙煙 紙菸
索尔仁尼琴 索忍尼辛
所罗门群岛 索羅門群島
索馬里 索馬利亞
索馬里蘭 索馬利蘭
維爾京群島 維京群島
弗吉尼亚 維吉尼亞
佛得角 維德角
维特根斯坦 維根斯坦
網絡遊戲 網路遊戲
互联网 網際網路
互聯網 網際網路
因特网 網際網路
系着 繫著
卢瓦尔 羅亞爾
卢浮宫 羅浮宮
樂行童軍 羅浮童軍
意大利 義大利
昂山素姬 翁山蘇姬
圣基茨和尼维斯 聖克里斯多福及尼維斯
圣文森特和格林纳丁斯 聖文森及格瑞那丁
圣赫勒拿 聖赫倫那
圣卢西亚 聖露西亞
圣马力诺 聖馬利諾
肯尼亚 肯亞
氨基酸 胺基酸
自由泳 自由式
三藩市 舊金山
艾森豪威尔 艾森豪
埃菲尔 艾菲爾
阿里埃勒·沙龍 艾里爾·夏隆
帕塔亚 芭達亞
黎克特制 芮氏
里氏0 芮氏0
里氏1 芮氏1
里氏2 芮氏2
里氏3 芮氏3
里氏4 芮氏4
里氏5 芮氏5
里氏6 芮氏6
里氏7 芮氏7
里氏8 芮氏8
里氏9 芮氏9
里氏地震规模 芮氏地震規模
里氏规模 芮氏規模
当且仅当 若且唯若
味美思 苦艾酒
毛里塔尼亚 茅利塔尼亞
霍尔木兹 荷姆茲
莫桑比克 莫三比克
瓦文萨 華勒沙
瓦格纳 華格納
烟具 菸具
烟品 菸品
烟嘴 菸嘴
烟卷 菸捲
烟斗 菸斗
烟民 菸民
烟灰 菸灰
烟瘾 菸癮
烟丝 菸絲
烟草 菸草
烟叶 菸葉
烟蒂 菸蒂
烟袋 菸袋
烟农 菸農
烟酒 菸酒
烟头 菸頭
烟鬼 菸鬼
烟碱 菸鹼
万历朝鲜战争 萬曆朝鮮戰爭
瓦努阿图 萬那杜
叶利钦 葉爾欽
埃里温 葉里溫
也門 葉門
着 著
着眼于 著眼於
科摩罗 葛摩
格林美獎 葛萊美獎
黑山共和国 蒙特內哥羅共和國
蒙特利尔 蒙特婁
普密蓬 蒲美蓬
布隆迪 蒲隆地
圭亚那 蓋亞那
肖斯塔科维奇 蕭士塔高維奇
肖邦 蕭邦
薛定谔 薛丁格
扎伊尔 薩伊
素檀 蘇丹
苏里南 蘇利南
浮罗交怡 蘭卡威
劳拉 蘿拉
荧光 螢光
荧屏 螢屏
屏幕 螢幕
行人路权 行人路權
流動網絡 行動網路
流動電話 行動電話
冲着 衝著
埃塞俄比亚 衣索比亞
克隆人 複製人
国际象棋 西洋棋
赫梯 西臺
分辨率 解析度
译码 解碼
触摸屏 觸控螢幕
出租车 計程車
约翰逊 詹森
诺曼底 諾曼第
瑙魯 諾魯
科特迪瓦 象牙海岸
碧咸 貝克漢
貝爾格萊德 貝爾格勒
伯利兹 貝里斯
首席财务官 財務長
集装箱 貨櫃
数据库 資料庫
信息时代 資訊時代
信息论 資訊理論
乔布斯 賈伯斯
本·拉登 賓·拉登
宾西法尼亚 賓夕法尼亞
本拉登 賓拉登
利比里亚 賴比瑞亞
莱索托 賴索托
塞浦路斯 賽普勒斯
赫丘勒·波洛 赫丘勒·白羅
赫鲁晓夫 赫魯雪夫
切尔诺贝利 車諾比
软驱 軟碟機
軟件 軟體
津巴布韋 辛巴威
径入 逕入
径到 逕到
径取 逕取
径启 逕啟
径寄 逕寄
径庭 逕庭
径往 逕往
径自 逕自
径行 逕行
径迎 逕迎
链接 連結
进制 進位
达·芬奇 達·文西
达芬奇 達文西
溫納圖萬 那杜
丘吉尔 邱吉爾
多普勒 都卜勒
酰 醯
里士满 里奇蒙
金沙萨 金夏沙
健力士世界紀錄 金氏世界紀錄
吉尼斯世界纪录 金氏世界紀錄
钚 鈽
鈎 鉤
锎 鉲
锫 鉳
镅 鋂
镎 錼
钫 鍅
炼金 鍊金
锻炼 鍛鍊
锝 鎝
鐵杆 鐵桿
泰坦尼克号 鐵達尼號
锿 鑀
关系着 關係著
写保护 防寫
阿布扎比 阿布達比
阿拉伯联合酋长国 阿拉伯聯合大公國
亚拉巴马 阿拉巴馬
阿联酋 阿聯
罗纳德·里根 隆納·雷根
私隱 隱私
耶加達 雅加達
雅尔塔 雅爾達
雅穆苏克雷 雅穆索戈
悉尼 雪梨
雪茄烟 雪茄菸
莱特湾 雷伊泰灣
激光 雷射
雷诺阿 雷諾瓦
电子烟 電子菸
晶体管 電晶體
电杆 電桿
电线杆 電線桿
电脑程序 電腦程式
电脑网络 電腦網路
荷尔斯泰因 霍爾斯坦
面包着 面包著
朝鲜战争 韓戰
声卡 音效卡
缺省 預設
导弹 飛彈
糊口 餬口
香烟 香菸
馬里共和國 馬利共和國
马拉维 馬拉威
馬斯特里赫特 馬斯垂克
马耳他 馬爾他
馬爾代夫 馬爾地夫
馬利蘭 馬里蘭
高清电视 高畫質電視
斗着 鬥著
魯賓斯·巴里切羅 魯本·巴瑞切羅
咪高峰 麥克風
迈克尔 麥可
迈凯轮 麥拿輪
马萨诸塞 麻薩諸塞
粘膜 黏膜
戴安娜 黛安娜
点烟 點菸
霉素 黴素
0字节 0位元組
1字节 1位元組
2字节 2位元組
3字节 3位元組
4字节 4位元組
5字节 5位元組
6字节 6位元組
7字节 7位元組
8字节 8位元組
9字节 9位元組
IP地址 IP位址
·威尔士 ·威爾士
一地里 一地裏
三十六著 三十六着
三極體 三極管
旧金山 三藩市
上台面 上枱面
下文里 下文裏
下着 下著
下著称 下著稱
下著录 下著錄
不占 不佔
不萊梅 不來梅
不著痕跡 不着痕跡
不著邊際 不着邊際
世纪里 世紀裏
C型肝炎 丙型肝炎
C肝 丙肝
并发布 並發佈
中文里 中文裏
乘着 乘著
乘著称 乘著稱
B型肝炎 乙型肝炎
B肝 乙肝
吉力馬札羅 乞力馬札羅
葉門 也門
事里 事裏
二極體 二極管
因特网 互聯網
井里 井裏
亮着 亮著
亮著称 亮著稱
人工智慧 人工智能
人数里 人數裏
仗着 仗著
代表著 代表着
伊斯蘭瑪巴德 伊斯蘭堡
埃博拉 伊波拉
伏着 伏著
貝里斯 伯利茲
伯明罕 伯明翰
伴着 伴著
布下了 佈下了
布下的 佈下的
布光 佈光
布告 佈告
布局 佈局
布展 佈展
布控 佈控
布于 佈於
布景 佈景
布满 佈滿
布置 佈置
布設 佈設
布警 佈警
布道 佈道
布防 佈防
布阵 佈陣
布雷、 佈雷、
布雷。 佈雷。
布雷封鎖 佈雷封鎖
布雷的 佈雷的
布雷艇 佈雷艇
布雷舰 佈雷艦
布雷速度 佈雷速度
布雷， 佈雷，
布雷； 佈雷；
布点 佈點
低着 低著
低著称 低著稱
住着 住著
占0 佔0
占1 佔1
占2 佔2
占3 佔3
占4 佔4
占5 佔5
占6 佔6
占7 佔7
占8 佔8
占9 佔9
占A 佔A
占B 佔B
占C 佔C
占D 佔D
占E 佔E
占F 佔F
占G 佔G
占H 佔H
占I 佔I
占J 佔J
占K 佔K
占L 佔L
占M 佔M
占N 佔N
占O 佔O
占P 佔P
占Q 佔Q
占R 佔R
占S 佔S
占T 佔T
占U 佔U
占V 佔V
占W 佔W
占X 佔X
占Y 佔Y
占Z 佔Z
占〇 佔〇
占一 佔一
占七 佔七
占三 佔三
占上風 佔上風
占下 佔下
占下風 佔下風
占不占 佔不佔
占不足 佔不足
占世界 佔世界
占中 佔中
占主 佔主
占主要 佔主要
占九 佔九
占了 佔了
占二 佔二
占五 佔五
占人便宜 佔人便宜
占位 佔位
占住 佔住
占占 佔佔
占便宜 佔便宜
占俄 佔俄
占个 佔個
占个位 佔個位
占亿 佔億
占优 佔優
占先 佔先
占光 佔光
占全 佔全
占两 佔兩
占八 佔八
占六 佔六
占分 佔分
占到 佔到
占加 佔加
占劣 佔劣
占北 佔北
占十 佔十
占千 佔千
占半 佔半
占南 佔南
占印 佔印
占去 佔去
占取 佔取
占台 佔台
占囁 佔囁
占四 佔四
占国 佔國
占在 佔在
占地 佔地
占场 佔場
占压 佔壓
占多 佔多
占大 佔大
占好 佔好
占小 佔小
占少 佔少
占局部 佔局部
占屋 佔屋
占山为 佔山為
占市 佔市
占平均 佔平均
占床 佔床
占座 佔座
占後 佔後
占得 佔得
占德 佔德
占所有 佔所有
占掉 佔掉
占据 佔據
占整 佔整
占新 佔新
占有 佔有
占东 佔東
占查 佔查
占次 佔次
占比 佔比
占法 佔法
占满 佔滿
占澳 佔澳
占为 佔為
占率 佔率
占用 佔用
占毕 佔畢
占百 佔百
占尽 佔盡
占着 佔着
占網 佔網
占線 佔線
占总 佔總
占缺 佔缺
占美国 佔美國
占耕 佔耕
占至多 佔至多
占至少 佔至少
占臺 佔臺
占英 佔英
占万 佔萬
占著名 佔著名
占著者 佔著者
占葡 佔葡
占苏 佔蘇
占西 佔西
占資 佔資
占起 佔起
占超过 佔超過
占过 佔過
占道 佔道
占零 佔零
占領 佔領
占头 佔頭
占头筹 佔頭籌
占香 佔香
占馬 佔馬
占高枝 佔高枝
維德角 佛得角
作品里 作品裏
來着 來著
侵占 侵佔
促着 促著
俄占 俄佔
保障著 保障着
信着 信著
信著称 信著稱
个月里 個月裏
个里 個裏
倒楣 倒霉
候着 候著
借着 借著
假里 假裏
做着 做著
吉尼斯世界纪录 健力士世界紀錄
側着 側著
偷着 偷著
備着 備著
傻里傻气 傻裏傻氣
雇员 僱員
雇用 僱用
凶惡 兇惡
凶殘 兇殘
凶殺 兇殺
先占 先佔
光着 光著
光著称 光著稱
柯林頓 克林頓
克羅埃西亞 克羅地亞
奈洛比 內羅畢
公布 公佈
公寓里 公寓裏
冒着 冒著
冰山里 冰山裏
恺撒 凱撒
函数里 函數裏
分布 分佈
分布于 分佈於
分佈著 分佈着
分占 分佔
分钟里 分鐘裏
錢尼 切尼
切尔诺贝利 切爾諾貝爾
列支敦斯登 列支敦士登
別着 別著
賴比瑞亞 利比里亞
刮着 刮著
到山里 到山裏
制着 制著
刻着 刻著
刻著称 刻著稱
前波莫瑞 前波美拉尼亞
剪彩 剪綵
割占 割佔
劃着 劃著
击剑 劍擊
加薩走廊 加沙地帶
迦納 加納
加彭 加蓬
努力著 努力着
努力著称 努力著稱
布蘭登堡 勃蘭登堡
動着 動著
包着 包著
北朝鲜 北韓
区里有 區裏有
区里的 區裏的
南朝鲜 南韓
波札那 博茨瓦納
占国桥 占國橋
卡普里亚蒂 卡佩雅蒂
喀拉蚩 卡拉奇
卡斯楚 卡斯特羅
印着 印著
瓜地馬拉 危地馬拉
厄瓜多尔 厄瓜多爾
厄利垂亚 厄立特里亞
源代码 原始碼
原文里 原文裏
去山里 去山裏
参数里 參數裏
受着 受著
丛林里 叢林裏
口里 口裏
古文里 古文裏
只占 只佔
叫着 叫著
古柯鹼 可卡因
叱吒 叱咤
斯坦福大学 史丹福大學
史匹柏 史匹堡
史蒂芬·史匹柏 史提芬·史匹堡
吃不著 吃不着
吃得著 吃得着
吃着 吃著
吃里扒外 吃裏扒外
吃里爬外 吃裏爬外
吉布地 吉布堤
吊着 吊著
向着 向著
吞占 吞佔
吧台 吧枱
含着 含著
吹着 吹著
呆着 呆著
呆里呆气 呆裏呆氣
告里 告裏
味着 味著
味著称 味著稱
咖哩 咖喱
麥克風 咪高峰
咬着 咬著
哥特式 哥德式
哥斯大黎加 哥斯達黎加
哪里 哪裏
哭着 哭著
唱着 唱著
喝着 喝著
賈伯斯 喬布斯
乔治·奥威尔 喬治·歐威爾
单反相机 單鏡反光機
嗅不著 嗅不着
嗅得著 嗅得着
嗅着 嗅著
凯瑟琳 嘉芙蓮
嘯吒 嘯咤
嘴里 嘴裏
嚷着 嚷著
回着 回著
因着 因著
困着 困著
固着 固著
圈占 圈佔
圈里 圈裏
西洋棋 國際象棋
圍着 圍著
园里 園裏
吐瓦魯 圖瓦盧
土魯斯 圖盧茲
图里的 圖裏的
图里， 圖裏，
土里 土裏
在山里 在山裏
蓋亞那 圭亞那
地占 地佔
地图里 地圖裏
堪培拉 坎培拉
坐台铁 坐台鐵
坐台 坐枱
坐着 坐著
坑里 坑裏
坦尚尼亞 坦桑尼亞
衣索匹亞 埃塞俄比亚
衣索比亞 埃塞俄比亞
葉里溫 埃里溫
城市里 城市裏
城里 城裏
域里 域裏
吉里巴斯 基里巴斯
堅貞著 堅貞着
场里 場裏
塗着 塗著
塞普勒斯 塞浦路斯
塞爾維亞與蒙特內哥羅 塞爾維亞和黑山
塞席爾 塞舌爾
境里 境裏
壓着 壓著
壶里 壺裏
多占 多佔
夜晚里 夜晚裏
夜里 夜裏
梦有五不占 夢有五不占
夢着 夢著
梦里 夢裏
天里 天裏
宇航员 太空人
夾着 夾著
奥占 奧佔
歐巴馬 奧巴馬
妆台 妝枱
威斯伐倫 威斯特法倫
威尔士 威爾斯
子里 子裏
字里行间 字裏行間
存在著 存在着
存着 存著
孟德爾頌 孟德爾遜
學着 學著
学里 學裏
守着 守著
守著称 守著稱
安哈特 安哈爾特
安地卡及巴布達 安提瓜和巴布達
定着 定著
定著称 定著稱
宣布 宣佈
宫里 宮裏
家里 家裏
密布 密佈
密西根 密歇根
沃尓沃 富豪
寡占 寡佔
写字台 寫字枱
寫着 寫著
宝里宝气 寶裏寶氣
封面里 封面裏
将占 將佔
将占卜 將占卜
专辑里 專輯裏
尋着 尋著
對着 對著
小时里 小時裏
少占 少佔
就里 就裏
尼克松 尼克遜
奈及利亞 尼日利亞
局里 局裏
屋里 屋裏
展着 展著
屯里 屯裏
山里有 山裏有
山里的 山裏的
甘比亞 岡比亞
工作台 工作枱
已占 已佔
巴塞罗那 巴塞隆拿
巴貝多 巴巴多斯
巴士拉 巴斯拉
巷里 巷裏
市占 市佔
市里的 市裏的
布吉納法索 布基納法索
布什 布殊
布里斯托尔 布里斯托
蒲隆地 布隆迪
希冀著 希冀着
席哈克 希拉克
希拉蕊 希拉莉
希特勒 希特拉
帛琉 帕勞
巴尔米拉环礁 帕邁拉環礁
帕劳 帛琉
帶着 帶著
幅图里 幅圖裏
幫着 幫著
賓士 平治
年代里 年代裏
年里 年裏
年里约 年里約
干着 幹着
幾內亞比索 幾內亞比紹
店里 店裏
庫德人 庫爾德人
庫德族 庫爾德族
坎城 康城
庙里 廟裏
广播里 廣播裏
強占 強佔
约翰斯顿岛 強斯頓環礁
弹子台 彈子枱
蹦床 彈床
弹珠台 彈珠枱
形上學 形而上學
谢丽·布莱尔 彭雪玲
往里 往裏
待着 待著
得着 得著
从图里 從圖裏
从山里 從山裏
从里到外 從裏到外
从里向外 從裏向外
循着 循著
征占 徵佔
德占 德佔
得克萨斯 德克薩斯
德勒斯登 德累斯頓
澈底 徹底
心着 心著
心著称 心著稱
心里 心裏
心里面 心裏面
忍着 忍著
忙着 忙著
忙里 忙裏
忠貞著 忠貞着
急着 急著
怪里怪气 怪裏怪氣
悠着 悠著
悶着 悶著
想象 想像
想着 想著
想著称 想著稱
意占 意佔
義大利 意大利
艾滋 愛滋
愛着 愛著
慌里慌张 慌裏慌張
慣着 慣著
宪法里 憲法裏
应用程序 應用程式
應着 應著
懷着 懷著
怀里 懷裏
戀着 戀著
戈巴契夫 戈爾巴喬夫
戰着 戰著
戏彩娱亲 戲綵娛親
戏里 戲裏
撒切尔 戴卓爾
狄安娜 戴安娜
戴着 戴著
房里 房裏
所占 所佔
索羅門群島 所羅門群島
手里 手裏
手里剑 手裏劍
列印 打印
印表機 打印機
打着 打著
扛着 扛著
找不著 找不着
找得著 找得着
抓着 抓著
披着 披著
抬着 抬著
抱着 抱著
拉着 拉著
拎着 拎著
拖着 拖著
拼着 拼著
拿着 拿著
持着 持著
挑着 挑著
挨着 挨著
捆着 捆著
伏地挺身 掌上壓
掖着 掖著
掙着 掙著
掛着 掛著
接着 接著
揉着 揉著
提着 提著
揮着 揮著
搜索引擎 搜尋引擎
抢占 搶佔
摟着 摟著
折台 摺枱
撒马尔罕 撒馬爾罕
撼着 撼著
择日占星 擇日占星
擋着 擋著
擔着 擔著
據着 據著
擡着 擡著
摆布 擺佈
擺着 擺著
收錄著 收錄着
攻占 攻佔
放着 放著
放著称 放著稱
敞着 敞著
散布 散佈
散佈著 散佈着
数字照相机 数碼照相機
數着 數著
数字化 數碼化
数字技术 數碼技術
數位相機 數碼相機
数字信号 數碼訊號
数字电视 數碼電視
紐澳良 新奧爾良
紐幾內亞 新幾內亞
紐西蘭 新西蘭
方法里 方法裏
族里 族裏
日占 日佔
日里 日裏
昂山素季 昂山素姬
昂着 昂著
星罗棋布 星羅棋佈
映着 映著
晃着 晃著
晶元 晶片
智慧型 智能
智慧卡 智能卡
智慧手機 智能手機
暗地里 暗地裏
暗沟里 暗溝裏
暗着 暗著
暗里 暗裏
会占 會佔
会占卜 會占卜
会里 會裏
月裡来 月裏來
里瓦尔多 李華度
村里有 村裏有
村里的 村裏的
杜塞道夫 杜塞爾多夫
迪拜 杜拜
東南亞國家協會 東南亞國家聯盟
亚细安 東盟
檯 枱
台布 枱布
台历 枱曆
台灯 枱燈
台面上 枱面上
台面化 枱面化
柏林墙 柏林圍牆
奧黛莉·朵杜 柯德莉·塔圖
奥黛丽·赫本 柯德莉·夏萍
哥廷根 格丁根
格瑞那達 格林納達
格莱美奖 格林美獎
格鲁吉亚 格魯吉亞
框里 框裏
台式电脑 桌上型電腦
台球 桌球
默多克 梅鐸
条文里 條文裏
梳着 梳著
棉里 棉裏
桑巴舞 森巴舞
森林里 森林裏
棺材里 棺材裏
榴莲 榴槤
樂着 樂著
標志著 標志着
寶獅 標致
標誌著 標誌着
树林里 樹林裏
工具機 機床
机器人 機械人
柜台 櫃枱
柜里 櫃裏
正文里 正文裏
历史里 歷史裏
死里求生 死裏求生
死里逃生 死裏逃生
壳里 殼裏
殿里 殿裏
茅利塔尼亞 毛里塔尼亞
模里西斯 毛里裘斯
公厘 毫米
水来汤里去 水來湯裏去
水里 水裏
池里 池裏
汙 污
文莱 汶萊
沙地阿拉伯 沙特阿拉伯
沙里淘金 沙裏淘金
河里 河裏
沿着 沿著
法占 法佔
法里， 法裏，
玻里尼西亞 波利尼西亞
波士尼亞 波斯尼亞
波士尼亞與赫塞哥維納 波斯尼亞和黑塞哥維那
宝莱坞 波里活
移动网络 流動網絡
蘭卡威 流動電話 移动电话浮羅交怡
海上布雷 海上佈雷
海洛因 海洛英
海湾布雷 海灣佈雷
涼着 涼著
深山里 深山裏
渊里 淵裏
渴着 渴著
湊合著 湊合着
湖里 湖裏
准将 準將
溢著 準尉 准尉溢着
演着 演著
漠里 漠裏
漢諾瓦 漢諾威
漫着 漫著
潜意识里 潛意識裏
潤着 潤著
潭里 潭裏
溼 濕
火山里 火山裏
火箭布雷 火箭佈雷
為着 為著
烏龍麵 烏冬麵
菸 煙
照占 照佔
照着 照著
燒着 燒著
爭着 爭著
墙里 牆裏
版图里 版圖裏
版权信息 版權資訊
千里達托貝哥 特立尼達和多巴哥
牽着 牽著
犯不著 犯不着
犯得著 犯得着
狂占 狂佔
猜着 猜著
猶豫著 猶豫着
狱里 獄裏
独占 獨佔
獨立國家國協 獨立國家聯合體
獨立國協 獨聯體
獲着 獲著
班里 班裏
球台 球枱
卢塞恩 琉森
諾鲁 瑙魯
萬那杜 瓦努阿圖
肯尼迪 甘迺迪
甜着 甜著
用不著 用不着
用得著 用得着
用法里 用法裏
用着 用著
田里 田裏
由表及里 由表及裏
A型肝炎 甲型肝炎
A肝 甲肝
界里 界裏
留着 留著
畫着 畫著
画里 畫裏
當着 當著
過著作 當著作
過著名 當著名
過著書 當著書
過著稱 當著稱
過著者 當著者
過著述 當著述
過著錄 當著錄
迭代 疊代
疑着 疑著
狂牛症 瘋牛症
发布 發佈
發着 發著
白里透红 白裏透紅
戈登·布朗 白高敦
百科里 百科裏
的图里 的圖裏
的山里 的山裏
皮里春秋 皮裏春秋
皮里阳秋 皮裏陽秋
皺着 皺著
盒里 盒裏
盛着 盛著
盘里 盤裏
盧安達 盧旺達
羅亞爾 盧瓦爾
盯着 盯著
看不著 看不着
看得著 看得着
看法里 看法裏
看着 看著
眼眶里 眼眶裏
眼睛里 眼睛裏
眼里 眼裏
著什 着什
著他 着他
著你 着你
著力 着力
著地 着地
著墨 着墨
著她 着她
著妳 着妳
著它 着它
著實 着實
著忙 着忙
著急 着急
著想 着想
著意 着意
著我 着我
著手 着手
著數 着數
著法 着法
著涼 着涼
著火 着火
著甚麼 着甚麼
著眼 着眼
著祂 着祂
著筆 着筆
著絲 着絲
著緊 着緊
著腳 着腳
著艦 着艦
著色 着色
著落 着落
著衣 着衣
著裝 着裝
著迷 着迷
著重 着重
著錄 着錄
著陸 着陸
著鞭 着鞭
睡不著 睡不着
睡得著 睡得着
睡着 睡著
瞞着 瞞著
瞪着 瞪著
矛盾著 矛盾着
智慧財產權 知識產權
短信 短訊
什勒斯維希 石勒蘇益格
硅 矽
硬體 硬件
碗里 碗裏
貝克漢 碧咸
社里 社裏
福馬林 福爾馬林
福着 福著
秀发布 秀發佈
私下里 私下裏
隐私 私隱
葛摩 科摩羅
程序员 程式設計師
捷豹 積架
稳占 穩佔
穫着 穫著
空中布雷 空中佈雷
空投布雷 空投佈雷
空气质量 空氣質素
空着 空著
太空梭 穿梭機
穿着 穿著
窝里 窩裏
窝里斗 窩裏鬥
立着 立著
立著称 立著稱
站着 站著
竪着 竪著
笑着 笑著
笑里藏刀 笑裏藏刀
提比里西 第比利斯
管着 管著
箱里 箱裏
节目里 節目裏
簽着 簽著
篮板球 籃板球
迈克尔 米高
迈克尔·欧文 米高·奧雲
糊里糊涂 糊裏糊塗
系列里 系列裏
係數 系數
系里 系裏
紀錄著 紀錄着
約占 約佔
索尔仁尼琴 索贊尼辛
索馬利亞 索馬里
紮着 紮著
组里 組裏
吉他 結他
結彩 結綵
綁着 綁著
经文里 經文裏
网站里 網站裏
網路 網絡
网里 網裏
彩带 綵帶
彩排 綵排
彩楼 綵樓
彩牌楼 綵牌樓
彩球 綵球
彩綢 綵綢
彩线 綵綫
彩線 綵線
彩船 綵船
彩衣 綵衣
线图里 線圖裏
緝凶 緝兇
县里 縣裏
缝里 縫裏
縱着 縱著
总数里 總數裏
尖峰時段 繁忙時段
尖峰時間 繁忙時間
正體中文 繁體中文
繃着 繃著
繞着 繞著
系着 繫着
纏着 纏著
罩着 罩著
罵着 罵著
卢浮宫 羅浮宮
美占 美佔
美着 美著
美著称 美著稱
耀着 耀著
寮國 老撾
寮人民民主共和國 老撾人民民主共和國
寮語 老撾語
考着 考著
圣基茨和尼维斯 聖吉斯納域斯
聖文森及格瑞那丁 聖文森特和格林納丁斯
聖露西亞 聖盧西亞
聖馬利諾 聖馬力諾
聽不著 聽不着
聽得著 聽得着
聽着 聽著
肚里 肚裏
肯尼亚 肯雅
胃里 胃裏
背地里 背地裏
背着 背著
胡里胡涂 胡裏胡塗
腰里 腰裏
膠着 膠著
塑料袋 膠袋
臨着 臨著
自行火炮 自走炮
與着 與著
舒马赫 舒麥加
愛荷華 艾奧瓦
埃菲尔 艾菲爾
帕塔亚 芭達亞
花盆里 花盆裏
苑里 苑裏
苦着 苦著
苦里 苦裏
英占 英佔
英文里 英文裏
共和联邦 英聯邦
草丛里 草叢裏
霍爾斯坦 荷爾斯泰因
好莱坞 荷里活
庄里 莊裏
莫三比克 莫桑比克
巴伦西亚 華倫西亞
瓦倫西亞 華倫西亞
瓦文萨 華里沙
菲利普亲王 菲臘親王
賴索托 萊索托
马恩岛 萌島
馬自達 萬事得
万历朝鲜战争 萬曆朝鮮戰爭
落着 落著
葉爾欽 葉利欽
葡占 葡佔
葫芦里卖甚么药 葫蘆裏賣甚麼藥
蒙特婁 蒙特利爾
蒙着 蒙著
蓋着 蓋著
肖斯塔科维奇 蕭士達高維契
肖邦 蕭邦
薛丁格 薛定諤
塞拉耶佛 薩拉熱窩
萨达姆 薩達姆
藉着 藉著
藏着 藏著
蘊涵著 蘊涵着
蘸着 蘸著
蜜里调油 蜜裏調油
荧屏 螢屏
屏幕 螢幕
人行道 行人路
行家里手 行家裏手
首席执行官 行政總裁
行着 行著
衝着 衝著
衣着 衣著
表里 表裏
表里一致 表裏一致
表里不一 表裏不一
表里如一 表裏如一
表里山河 表裏山河
袋里 袋裏
袖里 袖裏
被里 被裏
裡 裏
里勾外连 裏勾外連
里屋 裏屋
里层 裏層
里带 裏帶
里弦 裏弦
里应外合 裏應外合
里海 裏海
里脊 裏脊
里衣 裏衣
里通外国 裏通外國
里通外敌 裏通外敵
里边 裏邊
里间 裏間
里面 裏面
里头 裏頭
裝着 裝著
裹着 裹著
衬里 襯裏
西占 西佔
塞維亞 西維爾
要占 要佔
覆着 覆著
覆蓋著 覆蓋着
見着 見著
視着 視著
角落里 角落裏
分辨率 解像度
言里 言裏
計畫 計劃
記着 記著
記錄著 記錄着
試着 試著
话里有话 話裏有話
语法里 語法裏
語着 語著
语里 語裏
說着 說著
數據機 調制解調器
论文里 論文裏
诺曼底 諾曼第
警戒著 警戒着
譯文里 譯文裏
變着 變著
豎着 豎著
象徵著 象著着
貝爾格勒 貝爾格萊德
布莱尔 貝理雅
負着 負著
買凶 買兇
費占 費佔
信息时代 資訊時代
赌台 賭枱
尚比亞 贊比亞
西臺人 赫梯人
西臺國 赫梯國
西臺帝 赫梯帝
西臺文 赫梯文
西臺族 赫梯族
西臺王 赫梯王
西臺語 赫梯語
赫魯雪夫 赫魯曉夫
走為上著 走為上着
走着 走著
趕着 趕著
趴着 趴著
跑着 跑著
跟着 跟著
跪着 跪著
路图里 路圖裏
跳着 跳著
踏着 踏著
踩着 踩著
躍着 躍著
身着 身著
躺着 躺著
车库里 車庫裏
车站里 車站裏
车里 車裏
车里雅宾斯克 車里雅賓斯克
軟體 軟件
載着 載著
轉着 轉著
办公台 辦公枱
辦着 辦著
迫着 迫著
追着 追著
逆着 逆著
径入 逕入
径到 逕到
径取 逕取
径启 逕啟
径寄 逕寄
径庭 逕庭
径往 逕往
径自 逕自
径行 逕行
径迎 逕迎
这里 這裏
连占 連佔
連着 連著
链接 連結
进占 進佔
演化論 進化論
逼着 逼著
遇着 遇著
遇著称 遇著稱
游戏里 遊戲裏
遍布 遍佈
遍佈著 遍佈着
過着 過著
达·芬奇 達·文西
达芬奇 達文西
達着 達著
还占 還佔
邋里邋遢 邋裏邋遢
那里 那裏
都市里 都市裏
配合著 配合着
配图里 配圖裏
配着 配著
酰 醯
醜着 醜著
醯壶 醯壺
醯酱 醯醬
醯鸡 醯雞
釀着 釀著
金装玉里 金裝玉裏
鉤 鈎
鋪着 鋪著
镇里 鎮裏
镜图里 鏡圖裏
钟在寺里 鐘在寺裏
狄托 鐵托
泰坦尼克号 鐵達尼號
门里 門裏
閉着 閉著
克卜勒 開普勒
開着 開著
开诚布公 開誠佈公
閑着 閑著
閒着 閒著
间里 間裏
關係著 關係着
關着 關著
聞不著 闻不着
聞得著 闻得着
闻着 聞著
亞塞拜然 阿塞拜疆
阿布達比 阿布扎比
阿拉伯聯合大公國 阿拉伯聯合酋長國
亞斯文 阿斯旺
阿联酋 阿聯酋
艾里爾·夏隆 阿里埃勒·沙龍
附着 附著
陋着 陋著
院里 院裏
陪着 陪著
阴沟里翻船 陰溝裏翻船
队里 隊裏
隔着 隔著
隨着 隨著
隐占 隱佔
雅爾達 雅爾塔
雅着 雅著
雅穆索戈 雅穆蘇克雷
雅著称 雅著稱
集数里 集數裏
集里 集裏
雜着 雜著
鸡蛋里挑骨头 雞蛋裏挑骨頭
冰淇淋 雪糕
雪里 雪裏
云里雾里 雲裏霧裏
莱特湾 雷伊泰灣
电影里 電影裏
晶体管 電晶體
电梯里 電梯裏
电脑程序 電腦程式
电视里 電視裏
荷姆茲 霍爾木茲
雾里 霧裏
霸占 霸佔
非占不可 非佔不可
靠着 靠著
